Community College,Counties Served,Number of Counties Served
Alamance Community College,Alamance,1
Asheville–Buncombe Technical Community College,"Buncombe, Madison",2
Beaufort County Community College,"Beaufort, Hyde, Tyrrell, Washington",4
Bladen Community College,Bladen,1
Blue Ridge Community College,"Henderson, Transylvania",2
Brunswick Community College,Brunswick,1
Caldwell Community College & Technical Institute,"Caldwell, Watauga",2
Cape Fear Community College,"New Hanover, Pender",2
Carteret Community College,Carteret,1
Catawba Valley Community College,"Alexander, Catawba",2
Central Carolina Community College,"Chatham, Harnett, Lee",3
Central Piedmont Community College,Mecklenburg,1
Cleveland Community College,Cleveland,1
Coastal Carolina Community College,Onslow,1
College of The Albemarle,"Camden, Chowan, Currituck, Dare, Gates, Pasquotank, Perquimans",7
Craven Community College,Craven,1
Davidson-Davie Community College,"Davidson, Davie",2
Durham Technical Community College,"Durham, Orange",2
Edgecombe Community College,Edgecombe,1
Fayetteville Technical Community College,Cumberland,1
Forsyth Technical Community College,"Forsyth, Stokes",2
Gaston College,"Gaston, Lincoln",2
Guilford Technical Community College,Guilford,1
Halifax Community College,"Halifax, Northampton",2
Haywood Community College,Haywood,1
Isothermal Community College,"Polk, Rutherford",2
James Sprunt Community College,Duplin,1
Johnston Community College,Johnston,1
Lenoir Community College,"Greene, Jones, Lenoir",3
Martin Community College,"Bertie, Martin",2
Mayland Community College,"Avery, Mitchell, Yancey",3
McDowell Technical Community College,McDowell,1
Mitchell Community College,Iredell,1
Montgomery Community College,Montgomery,1
Nash Community College,Nash,1
Pamlico Community College,Pamlico,1
Piedmont Community College,"Caswell, Person",2
Pitt Community College,Pitt,1
Randolph Community College,Randolph,1
Richmond Community College,"Richmond, Scotland",2
Roanoke–Chowan Community College,"Bertie, Hertford, Northampton",3
Robeson Community College,Robeson,1
Rockingham Community College,Rockingham,1
Rowan–Cabarrus Community College,"Cabarrus, Rowan",2
Sampson Community College,Sampson,1
Sandhills Community College,"Hoke, Moore",2
South Piedmont Community College,"Anson, Union",2
Southeastern Community College,Columbus,1
Southwestern Community College,"Jackson, Macon, Swain",3
Stanly Community College,Stanly,1
Surry Community College,"Surry, Yadkin",2
Tri-County Community College,"Cherokee, Clay, Graham",3
Vance–Granville Community College,"Franklin, Granville, Vance, Warren",4
Wake Technical Community College,Wake,1
Wayne Community College,Wayne,1
Western Piedmont Community College,Burke,1
Wilkes Community College,"Alleghany, Ashe, Wilkes",3
Wilson Community College,Wilson,1
