County,Primary Serving College,Secondary Serving College,Total Serving Colleges
Alamance,Alamance Community College,,1
Alexander,Catawba Valley Community College,,1
Alleghany,Wilkes Community College,,1
Anson,South Piedmont Community College,,1
Ashe,Wilkes Community College,,1
Avery,Mayland Community College,,1
Beaufort,Beaufort County Community College,,1
Bertie,Martin Community College,Roanoke–Chowan Community College,2
Bladen,Bladen Community College,,1
Brunswick,Brunswick Community College,,1
Buncombe,Asheville–Buncombe Technical Community College,,1
Burke,Western Piedmont Community College,,1
Cabarrus,Rowan–Cabarrus Community College,,1
Caldwell,Caldwell Community College & Technical Institute,,1
Camden,College of The Albemarle,,1
Carteret,Carteret Community College,,1
Caswell,Piedmont Community College,,1
Catawba,Catawba Valley Community College,,1
Chatham,Central Carolina Community College,,1
Cherokee,Tri-County Community College,,1
Chowan,College of The Albemarle,,1
Clay,Tri-County Community College,,1
Cleveland,Cleveland Community College,,1
Columbus,Southeastern Community College,,1
Craven,Craven Community College,,1
Cumberland,Fayetteville Technical Community College,,1
Currituck,College of The Albemarle,,1
Dare,College of The Albemarle,,1
Davidson,Davidson-Davie Community College,,1
Davie,Davidson-Davie Community College,,1
Duplin,James Sprunt Community College,,1
Durham,Durham Technical Community College,,1
Edgecombe,Edgecombe Community College,,1
Forsyth,Forsyth Technical Community College,,1
Franklin,Vance–Granville Community College,,1
Gaston,Gaston College,,1
Gates,College of The Albemarle,,1
Graham,Tri-County Community College,,1
Granville,Vance–Granville Community College,,1
Greene,Lenoir Community College,,1
Guilford,Guilford Technical Community College,,1
Halifax,Halifax Community College,,1
Harnett,Central Carolina Community College,,1
Haywood,Haywood Community College,,1
Henderson,Blue Ridge Community College,,1
Hertford,Roanoke–Chowan Community College,,1
Hoke,Sandhills Community College,,1
Hyde,Beaufort County Community College,,1
Iredell,Mitchell Community College,,1
Jackson,Southwestern Community College,,1
Johnston,Johnston Community College,,1
Jones,Lenoir Community College,,1
Lee,Central Carolina Community College,,1
Lenoir,Lenoir Community College,,1
Lincoln,Gaston College,,1
Macon,Southwestern Community College,,1
Madison,Asheville–Buncombe Technical Community College,,1
Martin,Martin Community College,,1
McDowell,McDowell Technical Community College,,1
Mecklenburg,Central Piedmont Community College,,1
Mitchell,Mayland Community College,,1
Montgomery,Montgomery Community College,,1
Moore,Sandhills Community College,,1
Nash,Nash Community College,,1
New Hanover,Cape Fear Community College,,1
Northampton,Halifax Community College,Roanoke–Chowan Community College,2
Onslow,Coastal Carolina Community College,,1
Orange,Durham Technical Community College,,1
Pamlico,Pamlico Community College,,1
Pasquotank,College of The Albemarle,,1
Pender,Cape Fear Community College,,1
Perquimans,College of The Albemarle,,1
Person,Piedmont Community College,,1
Pitt,Pitt Community College,,1
Polk,Isothermal Community College,,1
Randolph,Randolph Community College,,1
Richmond,Richmond Community College,,1
Robeson,Robeson Community College,,1
Rockingham,Rockingham Community College,,1
Rowan,Rowan–Cabarrus Community College,,1
Rutherford,Isothermal Community College,,1
Sampson,Sampson Community College,,1
Scotland,Richmond Community College,,1
Stanly,Stanly Community College,,1
Stokes,Forsyth Technical Community College,,1
Surry,Surry Community College,,1
Swain,Southwestern Community College,,1
Transylvania,Blue Ridge Community College,,1
Tyrrell,Beaufort County Community College,,1
Union,South Piedmont Community College,,1
Vance,Vance–Granville Community College,,1
Wake,Wake Technical Community College,,1
Warren,Vance–Granville Community College,,1
Washington,Beaufort County Community College,,1
Watauga,Caldwell Community College & Technical Institute,,1
Wayne,Wayne Community College,,1
Wilkes,Wilkes Community College,,1
Wilson,Wilson Community College,,1
Yadkin,Surry Community College,,1
Yancey,Mayland Community College,,1
