"Full_Name","Short_Name"
"Alamance Community College","Alamance CC"
"Asheville–Buncombe Technical Community College","A-B Tech"
"Beaufort County Community College","Beaufort County CC"
"Bladen Community College","Bladen CC"
"Blue Ridge Community College","Blue Ridge CC"
"Brunswick Community College","Brunswick CC"
"Caldwell Community College & Technical Institute","Caldwell CC&TI"
"Cape Fear Community College","Cape Fear CC"
"Carteret Community College","Carteret CC"
"Catawba Valley Community College","Catawba Valley CC"
"Central Carolina Community College","Central Carolina CC"
"Central Piedmont Community College","Central Piedmont"
"Cleveland Community College","Cleveland CC"
"Coastal Carolina Community College","Coastal Carolina CC"
"College of The Albemarle","College of The Albemarle"
"Craven Community College","Craven CC"
"Davidson-Davie Community College","Davidson-Davie CC"
"Durham Technical Community College","Durham Tech"
"Edgecombe Community College","Edgecombe CC"
"Fayetteville Technical Community College","Fayetteville Tech"
"Forsyth Technical Community College","Forsyth Tech"
"Gaston College","Gaston College"
"Guilford Technical Community College","Guilford Tech"
"Halifax Community College","Halifax CC"
"Haywood Community College","Haywood CC"
"Isothermal Community College","Isothermal CC"
"James Sprunt Community College","James Sprunt CC"
"Johnston Community College","Johnston CC"
"Lenoir Community College","Lenoir CC"
"Martin Community College","Martin CC"
"Mayland Community College","Mayland CC"
"McDowell Technical Community College","McDowell Tech"
"Mitchell Community College","Mitchell CC"
"Montgomery Community College","Montgomery CC"
"Nash Community College","Nash CC"
"Pamlico Community College","Pamlico CC"
"Piedmont Community College","Piedmont CC"
"Pitt Community College","Pitt CC"
"Randolph Community College","Randolph CC"
"Richmond Community College","Richmond CC"
"Roanoke–Chowan Community College","Roanoke-Chowan CC"
"Robeson Community College","Robeson CC"
"Rockingham Community College","Rockingham CC"
"Rowan–Cabarrus Community College","Rowan-Cabarrus CC"
"Sampson Community College","Sampson CC"
"Sandhills Community College","Sandhills CC"
"South Piedmont Community College","South Piedmont CC"
"Southeastern Community College","Southeastern CC"
"Southwestern Community College","Southwestern CC"
"Stanly Community College","Stanly CC"
"Surry Community College","Surry CC"
"Tri-County Community College","Tri-County CC"
"Vance–Granville Community College","Vance-Granville CC"
"Wake Technical Community College","Wake Tech"
"Wayne Community College","Wayne CC"
"Western Piedmont Community College","Western Piedmont CC"
"Wilkes Community College","Wilkes CC"
"Wilson Community College","Wilson CC"
