"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,0.340747356664365,0.488465182108955,-0.616626807970985,1.29812152129972,TRUE,"full",49,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
2,1.46820096891103,0.488784133108614,0.510201671803514,2.42620026601855,TRUE,"full",49,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
3,1.13822516375578,0.364257649476237,0.424293289689146,1.85215703782242,TRUE,"full",49,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
4,1.01918209567875,0.431741050348629,0.172985186347944,1.86537900500956,TRUE,"full",49,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
5,1.3294484068692,0.489445617545268,0.370152624089513,2.2887441896489,TRUE,"full",49,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
6,0.955854582333364,0.38261683372179,0.205939368359906,1.70576979630682,TRUE,"full",49,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
7,2.10863875193255,0.456414990000495,1.21408180952738,3.00319569433773,TRUE,"full",49,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
8,1.21236467371866,0.484146103483586,0.263455747635426,2.16127359980189,TRUE,"full",49,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
9,0.136739864418875,0.428764192863723,-0.703622511454407,0.977102240292157,TRUE,"full",49,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
10,0.841432002677391,0.469030472216756,-0.0778508305192637,1.76071483587405,TRUE,"full",49,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
1,1.22941635527483,0.470968614710902,0.306334832592743,2.15249787795692,TRUE,"full",49,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
2,0.36140997116187,0.4632819592878,-0.546605983729369,1.26942592605311,TRUE,"full",49,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
3,0.604186755663732,0.491142936900136,-0.358435711921763,1.56680922324923,TRUE,"full",49,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
4,0.45166752603928,0.419739008452508,-0.371005813434189,1.27434086551275,TRUE,"full",49,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
5,1.67591934022772,0.406707186166764,0.878787903087231,2.4730507773682,TRUE,"full",49,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
6,0.422558016346132,0.457524760772326,-0.47417403680293,1.31929006949519,TRUE,"full",49,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
7,1.29824005393986,0.403267567980182,0.507850144565645,2.08862996331407,TRUE,"full",49,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
8,1.12472364915374,0.429133316436464,0.283637804372042,1.96580949393544,TRUE,"full",49,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
9,1.18672694771961,0.456274575246509,0.292445213175137,2.08100868226407,TRUE,"full",49,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
10,1.16747866701734,0.447561692312402,0.29027386922523,2.04468346480944,TRUE,"full",49,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
1,0.901724746615521,0.48793812635602,-0.0546164077262316,1.85806590095727,TRUE,"full",49,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
2,0.737279898799473,0.44260222090413,-0.130204513650063,1.60476431124901,TRUE,"full",49,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
3,0.851367309243937,0.416605212026852,0.034836097899633,1.66789852058824,TRUE,"full",49,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
4,0.852663962136527,0.449322272560327,-0.0279915095334042,1.73331943380646,TRUE,"full",49,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
5,0.857608033565214,0.420055261650888,0.0343148492129237,1.6809012179175,TRUE,"full",49,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
6,0.0744678801278411,0.432517742131795,-0.773251317125059,0.922187077380741,TRUE,"full",49,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
7,0.193211917729955,0.464030978974485,-0.716272088770897,1.10269592423081,TRUE,"full",49,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
8,0.262805708022268,0.382834188108184,-0.487535512720405,1.01314692876494,TRUE,"full",49,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
9,0.780611477486928,0.508600854170793,-0.216227879194134,1.77745083416799,TRUE,"full",49,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
10,0.0230482943044671,0.593432689050163,-1.14005840348261,1.18615499209154,TRUE,"full",49,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
1,0.409671042413378,0.398352384008273,-0.371085283398506,1.19042736822526,TRUE,"full",49,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
2,-0.0356522980175037,0.432610454501444,-0.883553208175838,0.81224861214083,TRUE,"full",49,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
3,1.35371262142991,0.463853576633417,0.444576317128325,2.2628489257315,TRUE,"full",49,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
4,-0.0105696002950965,0.520834922466613,-1.03138729022037,1.01024808963018,TRUE,"full",49,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
5,0.688169697675461,0.440907234056792,-0.175992601599023,1.55233199694995,TRUE,"full",49,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
6,1.37857998341248,0.403760237639276,0.58722445925017,2.1699355075748,TRUE,"full",49,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
7,1.09373634686015,0.47468037307349,0.16337991146807,2.02409278225222,TRUE,"full",49,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
8,0.860320638201753,0.38727538549147,0.101274830539607,1.6193664458639,TRUE,"full",49,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
9,1.31385187536035,0.538565325910261,0.258283233254159,2.36942051746654,TRUE,"full",49,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
10,1.81200666538798,0.356112013443068,1.11403994457753,2.50997338619844,TRUE,"full",49,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
1,1.44523736605048,0.469364920167134,0.525299026916378,2.36517570518458,TRUE,"full",49,5,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
2,1.07944447036762,0.445361266150017,0.206552428604427,1.95233651213081,TRUE,"full",49,5,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,28,30
