"profile","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","mean_estimate","bias","sd","mse","coverage","power","fail_rate","n_valid_est"
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.5,0,"both",25,10,0.842761969683973,0.0427619696839728,0.495121649093446,0.245993451662662,0.912,0.452,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.5,0.01,"both",25,10,0.812622420714604,0.0126224207146044,0.497981876708578,0.247153331236773,0.924,0.432,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.5,0.2,"both",25,10,0.741192532482775,-0.0588074675172255,0.485916025452482,0.23862824449216,0.924,0.38,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.5,0.5,"both",25,10,0.875595384018396,0.0755953840183959,0.477918375879367,0.233207012192048,0.932,0.492,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0,"both",25,10,0.812619398936272,0.0126193989362723,0.449821150181577,0.201688960111587,0.952,0.408,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.01,"both",25,10,0.81567836594986,0.0156783659498599,0.46326226051363,0.213999285486991,0.94,0.46,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.2,"both",25,10,0.887482534092521,0.0874825340925214,0.498830094191673,0.255489330791038,0.916,0.512,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.6,0.5,"both",25,10,0.77767264263349,-0.02232735736651,0.517984573321365,0.267733297013092,0.908,0.408,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.7,0,"both",25,10,0.823336933409167,0.0233369334091667,0.449807185540017,0.202061810607721,0.936,0.452,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.7,0.01,"both",25,10,0.762801390803699,-0.0371986091963013,0.474882621970771,0.225995187157374,0.936,0.408,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.7,0.2,"both",25,10,0.793601579186814,-0.00639842081318596,0.495584733015711,0.244662750476763,0.92,0.42,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.7,0.5,"both",25,10,0.786232774438139,-0.0137672255618614,0.484527680764046,0.23401754163255,0.944,0.416,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.8,0,"both",25,10,0.762614427912121,-0.0373855720878787,0.49147122866774,0.241975473734083,0.944,0.416,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.8,0.01,"both",25,10,0.770467662599902,-0.0295323374000985,0.484833920350477,0.234995833553436,0.928,0.416,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.8,0.2,"both",25,10,0.833914111597013,0.0339141115970125,0.45847186309941,0.210505830422243,0.944,0.452,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",0.8,0.8,0.5,"both",25,10,0.774289856937786,-0.0257101430622143,0.503415315330085,0.253074283246333,0.92,0.42,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.5,0,"both",25,10,0.991818184156978,-0.00818181584302191,0.481912026553665,0.231377186642201,0.932,0.572,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.5,0.01,"both",25,10,0.99254371992207,-0.0074562800779295,0.480480090812523,0.229993269309142,0.932,0.584,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.5,0.2,"both",25,10,1.00041951209874,0.000419512098742977,0.47483265516717,0.224564362201853,0.952,0.6,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.5,0.5,"both",25,10,0.984642129031534,-0.0153578709684656,0.513918529391605,0.263291670033306,0.924,0.552,0,250
