county,variable,year,region,cog,msa,value,vintage,estimateprojection,fips
Alamance,Total Population,2025,Central North Carolina,Piedmont Triad Council of Governments,Burlington,187718,2025,Projection,37001
Alamance,Total Population,2029,Central North Carolina,Piedmont Triad Council of Governments,Burlington,193896,2025,Projection,37001
Alamance,Total Population,2037,Central North Carolina,Piedmont Triad Council of Governments,Burlington,206665,2025,Projection,37001
Alamance,Total Population,2040,Central North Carolina,Piedmont Triad Council of Governments,Burlington,211444,2025,Projection,37001
Alamance,Total Population,2053,Central North Carolina,Piedmont Triad Council of Governments,Burlington,232356,2025,Projection,37001
Alexander,Total Population,2016,Western North Carolina,Western Piedmont Council of Governments,Hickory-Lenoir-Morganton,36739,2024,Estimate,37003
Alexander,Total Population,2034,Western North Carolina,Western Piedmont Council of Governments,Hickory-Lenoir-Morganton,36146,2025,Projection,37003
Alleghany,Total Population,2014,Western North Carolina,High Country Council of Governments,Non-Metropolitan,10924,2024,Estimate,37005
Alleghany,Total Population,2019,Western North Carolina,High Country Council of Governments,Non-Metropolitan,10919,2024,Estimate,37005
Alleghany,Total Population,2020,Western North Carolina,High Country Council of Governments,Non-Metropolitan,10895,2024,Estimate,37005
Alleghany,Total Population,2021,Western North Carolina,High Country Council of Governments,Non-Metropolitan,11023,2024,Estimate,37005
Alleghany,Total Population,2023,Western North Carolina,High Country Council of Governments,Non-Metropolitan,11467,2024,Estimate,37005
Alleghany,Total Population,2034,Western North Carolina,High Country Council of Governments,Non-Metropolitan,11464,2025,Projection,37005
Alleghany,Total Population,2036,Western North Carolina,High Country Council of Governments,Non-Metropolitan,11451,2025,Projection,37005
Alleghany,Total Population,2041,Western North Carolina,High Country Council of Governments,Non-Metropolitan,11421,2025,Projection,37005
Alleghany,Total Population,2050,Western North Carolina,High Country Council of Governments,Non-Metropolitan,11368,2025,Projection,37005
Anson,Total Population,2011,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),26404,2024,Estimate,37007
Anson,Total Population,2031,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),21554,2025,Projection,37007
Anson,Total Population,2034,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),21479,2025,Projection,37007
Anson,Total Population,2040,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),21364,2025,Projection,37007
Anson,Total Population,2047,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),21273,2025,Projection,37007
Anson,Total Population,2056,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),21170,2025,Projection,37007
Ashe,Total Population,2012,Western North Carolina,High Country Council of Governments,Non-Metropolitan,26909,2024,Estimate,37009
Ashe,Total Population,2020,Western North Carolina,High Country Council of Governments,Non-Metropolitan,26502,2024,Estimate,37009
Ashe,Total Population,2022,Western North Carolina,High Country Council of Governments,Non-Metropolitan,26558,2024,Estimate,37009
Ashe,Total Population,2026,Western North Carolina,High Country Council of Governments,Non-Metropolitan,26161,2025,Projection,37009
Ashe,Total Population,2048,Western North Carolina,High Country Council of Governments,Non-Metropolitan,26001,2025,Projection,37009
Ashe,Total Population,2049,Western North Carolina,High Country Council of Governments,Non-Metropolitan,25995,2025,Projection,37009
Ashe,Total Population,2052,Western North Carolina,High Country Council of Governments,Non-Metropolitan,25975,2025,Projection,37009
Avery,Total Population,2010,Western North Carolina,High Country Council of Governments,Non-Metropolitan,17788,2024,Estimate,37011
Avery,Total Population,2016,Western North Carolina,High Country Council of Governments,Non-Metropolitan,17662,2024,Estimate,37011
Avery,Total Population,2028,Western North Carolina,High Country Council of Governments,Non-Metropolitan,17629,2025,Projection,37011
Avery,Total Population,2030,Western North Carolina,High Country Council of Governments,Non-Metropolitan,17567,2025,Projection,37011
Avery,Total Population,2043,Western North Carolina,High Country Council of Governments,Non-Metropolitan,17185,2025,Projection,37011
Avery,Total Population,2047,Western North Carolina,High Country Council of Governments,Non-Metropolitan,17071,2025,Projection,37011
Beaufort,Total Population,2025,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,44349,2025,Projection,37013
Beaufort,Total Population,2037,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,44895,2025,Projection,37013
Beaufort,Total Population,2040,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,44989,2025,Projection,37013
Beaufort,Total Population,2054,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,45405,2025,Projection,37013
Beaufort,Total Population,2060,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,45581,2025,Projection,37013
Bertie,Total Population,2015,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,19537,2024,Estimate,37015
Bertie,Total Population,2019,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,18064,2024,Estimate,37015
Bertie,Total Population,2022,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,16699,2024,Estimate,37015
Bertie,Total Population,2033,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,16179,2025,Projection,37015
Bertie,Total Population,2040,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,15903,2025,Projection,37015
Bertie,Total Population,2044,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,15756,2025,Projection,37015
Bertie,Total Population,2059,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,15220,2025,Projection,37015
Bladen,Total Population,2041,Eastern North Carolina,Lumber River Council of Governments,Non-Metropolitan,30921,2025,Projection,37017
Bladen,Total Population,2042,Eastern North Carolina,Lumber River Council of Governments,Non-Metropolitan,31056,2025,Projection,37017
Bladen,Total Population,2050,Eastern North Carolina,Lumber River Council of Governments,Non-Metropolitan,32239,2025,Projection,37017
Bladen,Total Population,2056,Eastern North Carolina,Lumber River Council of Governments,Non-Metropolitan,33208,2025,Projection,37017
Brunswick,Total Population,2021,Eastern North Carolina,Cape Fear Council of Governments,Wilmington,145493,2024,Estimate,37019
Brunswick,Total Population,2031,Eastern North Carolina,Cape Fear Council of Governments,Wilmington,220664,2025,Projection,37019
Brunswick,Total Population,2032,Eastern North Carolina,Cape Fear Council of Governments,Wilmington,226909,2025,Projection,37019
Brunswick,Total Population,2053,Eastern North Carolina,Cape Fear Council of Governments,Wilmington,327206,2025,Projection,37019
Brunswick,Total Population,2057,Eastern North Carolina,Cape Fear Council of Governments,Wilmington,342756,2025,Projection,37019
