"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,0.424233170771335,0.417412171738698,-0.39387965254516,1.24234599408783,TRUE,"pilot",1,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.6,0,"both",5,5,28,30
2,1.48811570749424,0.439099167691721,0.627497153176955,2.34873426181153,TRUE,"pilot",1,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.6,0,"both",5,5,28,30
3,0.844576218563984,0.496301536731216,-0.128156918901082,1.81730935602905,TRUE,"pilot",1,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.6,0,"both",5,5,28,30
4,2.2895101022082,0.477549240571648,1.35353078984332,3.22548941457309,TRUE,"pilot",1,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.6,0,"both",5,5,28,30
5,1.18464121224601,0.452672528145358,0.297419360290416,2.07186306420161,TRUE,"pilot",1,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.6,0,"both",5,5,28,30
1,0.762832376040444,0.519978226931607,-0.2563062214905,1.78197097357139,TRUE,"pilot",1,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.6,0,"both",5,5,28,30
2,1.25622773202527,0.434029446050795,0.40554564953584,2.10690981451469,TRUE,"pilot",1,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.6,0,"both",5,5,28,30
3,1.10412025343632,0.495903558081888,0.132167139790549,2.07607336708208,TRUE,"pilot",1,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.6,0,"both",5,5,28,30
4,1.04784413880128,0.489061163364303,0.0893018723699824,2.00638640523257,TRUE,"pilot",1,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.6,0,"both",5,5,28,30
5,1.13721310515681,0.365650763709416,0.420550777366793,1.85387543294684,TRUE,"pilot",1,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.6,0,"both",5,5,28,30
