"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,2.3162462507495,0.442195893134506,1.44955822609434,3.18293427540465,TRUE,"pilot",60,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
2,1.52949095025453,0.396719983306319,0.751934071026815,2.30704782948225,TRUE,"pilot",60,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
3,2.18535470949198,0.51794203589112,1.17020697306604,3.20050244591793,TRUE,"pilot",60,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
4,0.94264174029833,0.414327539285584,0.130574685495481,1.75470879510118,TRUE,"pilot",60,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
5,2.29099649369024,0.450203230519446,1.40861437614854,3.17337861123194,TRUE,"pilot",60,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
1,2.24522098777427,0.485708214776422,1.29325037981724,3.1971915957313,TRUE,"pilot",60,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
2,1.66563926312438,0.53583736148516,0.615417333042495,2.71586119320626,TRUE,"pilot",60,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
3,2.25941592203361,0.482567123262636,1.31360174031574,3.20523010375148,TRUE,"pilot",60,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
4,2.53098342096296,0.504433685946765,1.54231156391851,3.5196552780074,TRUE,"pilot",60,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
5,1.60542314907395,0.455396694581724,0.712862029015181,2.49798426913271,TRUE,"pilot",60,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
1,3.08978233730057,0.443341653477515,2.2208486636382,3.95871601096293,TRUE,"pilot",60,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
2,1.95007483774065,0.517436950934285,0.935917049639233,2.96423262584207,TRUE,"pilot",60,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
3,1.4210577881011,0.420470728095999,0.596950304479611,2.24516527172259,TRUE,"pilot",60,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
4,1.96537772866345,0.371763334878046,1.23673498152997,2.69402047579692,TRUE,"pilot",60,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
5,2.25156162536021,0.441516541466756,1.38620510550668,3.11691814521374,TRUE,"pilot",60,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,17,41
1,1.74001073476853,0.447820789259964,0.862298116290698,2.61772335324636,TRUE,"pilot",60,4,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,15,43
2,1.97128928000085,0.316610236479865,1.35074461936361,2.5918339406381,TRUE,"pilot",60,4,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,15,43
3,2.52340096299772,0.347521078244412,1.84227216577015,3.20452976022529,TRUE,"pilot",60,4,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,15,43
4,1.60519988014812,0.425158930269154,0.771903689115,2.43849607118124,TRUE,"pilot",60,4,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,15,43
5,2.23295963445271,0.338282679887865,1.56993776527881,2.89598150362662,TRUE,"pilot",60,4,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,15,43
1,0.754277897976451,0.592984943607359,-0.407951234868487,1.91650703082139,TRUE,"pilot",60,5,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,19,39
2,1.72444166019842,0.585275759218903,0.57732225110503,2.8715610692918,TRUE,"pilot",60,5,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,19,39
3,3.0059805232345,0.583952834353115,1.86145399923231,4.15050704723669,TRUE,"pilot",60,5,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,19,39
4,2.07661121591066,0.485255192001045,1.12552851627755,3.02769391554378,TRUE,"pilot",60,5,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,19,39
5,1.62059390273748,0.433994940344793,0.769979450189076,2.47120835528588,TRUE,"pilot",60,5,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",2,0.8,0.2,"both",5,5,19,39
