"profile","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","mean_estimate","bias","sd","mse","coverage","power","fail_rate","n_valid_est"
"pilot",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.6,0,"both",5,5,1.1646581359013,0.164658135901305,0.514842542094891,0.281572631143193,0.92,0.76,0,25
"pilot",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.6,0.2,"both",5,5,0.932000751046036,-0.0679992489539642,0.425659334280308,0.17856233196386,0.96,0.56,0,25
"pilot",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0,"both",5,5,0.849331781458468,-0.150668218541532,0.566942308300612,0.331267549782056,0.76,0.44,0,25
"pilot",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.2,"both",5,5,0.932062342675878,-0.0679376573241221,0.421477653086006,0.175153200851542,0.96,0.48,0,25
"pilot",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.6,0,"both",5,5,2.07542382468842,0.0754238246884236,0.329996125173808,0.110230298255168,1,1,0,25
"pilot",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.6,0.2,"both",5,5,1.93569668214944,-0.064303317850563,0.376530286563133,0.140238971117933,1,1,0,25
"pilot",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.8,0,"both",5,5,2.17155481875426,0.171554818754264,0.450623959946241,0.224370530984334,0.92,1,0,25
"pilot",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.8,0.2,"both",5,5,1.71699071497635,-0.28300928502365,0.547409686753679,0.367765325955288,0.88,0.92,0,25
"pilot",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.6,0,"both",5,5,1.06086141164751,0.0608614116475066,0.503455494491666,0.247032848964221,0.92,0.52,0,25
"pilot",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.6,0.2,"both",5,5,0.888571714594302,-0.111428285405698,0.521765548657974,0.273765979044156,0.96,0.36,0,25
"pilot",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.8,0,"both",5,5,1.05190477819122,0.0519047781912206,0.640057529798398,0.395980801792642,0.8,0.56,0,25
