"ID","Legend_Label","Primary_College","n_counties","population","county_names","cluster_id","population_source","sud_count","sud_rate_per_100k","incidence_rank01","synthetic_log_risk","synthetic_expected_count","incidence_source"
1,"1) A-B Tech","A-B Tech",2,301477,"Buncombe; Madison",1,"NC OSBM county-population-totals API, 2024 Total Population Estimate",19,6.30230498512324,0.689655172413793,-9.83879275613078,16.0812862442893,"synthetic_poisson_sar_placeholder"
2,"2) Alamance CC","Alamance CC",1,185080,"Alamance",2,"NC OSBM county-population-totals API, 2024 Total Population Estimate",6,3.24184136589583,0.310344827586207,-10.3804813042588,5.74346185271186,"synthetic_poisson_sar_placeholder"
3,"3) Beaufort County CC","Beaufort County CC",4,62775,"Beaufort; Hyde; Tyrrell; Washington",3,"NC OSBM county-population-totals API, 2024 Total Population Estimate",6,9.55794504181601,0.948275862068966,-10.3134853199648,2.08303687313861,"synthetic_poisson_sar_placeholder"
4,"4) Bladen CC","Bladen CC",1,29393,"Bladen",4,"NC OSBM county-population-totals API, 2024 Total Population Estimate",2,6.80434116966625,0.758620689655172,-9.28317366342545,2.73283126806195,"synthetic_poisson_sar_placeholder"
5,"5) Blue Ridge CC","Blue Ridge CC",2,156278,"Henderson; Transylvania",5,"NC OSBM county-population-totals API, 2024 Total Population Estimate",2,1.27977066509681,0.0517241379310345,-10.3984345375237,4.76337863640657,"synthetic_poisson_sar_placeholder"
6,"6) Brunswick CC","Brunswick CC",1,169448,"Brunswick",6,"NC OSBM county-population-totals API, 2024 Total Population Estimate",7,4.13106085642793,0.413793103448276,-9.88522679714734,8.62853364449399,"synthetic_poisson_sar_placeholder"
7,"7) Caldwell CC&TI","Caldwell CC&TI",2,138033,"Caldwell; Watauga",7,"NC OSBM county-population-totals API, 2024 Total Population Estimate",10,7.24464439662979,0.844827586206897,-10.083239462454,5.76617300748636,"synthetic_poisson_sar_placeholder"
8,"8) Cape Fear CC","Cape Fear CC",2,313546,"New Hanover; Pender",8,"NC OSBM county-population-totals API, 2024 Total Population Estimate",14,4.46505456934549,0.46551724137931,-10.4268327285832,9.2893504412432,"synthetic_poisson_sar_placeholder"
9,"9) Carteret CC","Carteret CC",1,71707,"Carteret",9,"NC OSBM county-population-totals API, 2024 Total Population Estimate",6,8.36738393741197,0.913793103448276,-10.0766382896119,3.01531819287808,"synthetic_poisson_sar_placeholder"
10,"10) Catawba Valley CC","Catawba Valley CC",2,204206,"Alexander; Catawba",10,"NC OSBM county-population-totals API, 2024 Total Population Estimate",14,6.8558220620354,0.775862068965517,-9.94219261863941,9.8226598737749,"synthetic_poisson_sar_placeholder"
11,"11) Central Carolina CC","Central Carolina CC",3,294948,"Chatham; Harnett; Lee",11,"NC OSBM county-population-totals API, 2024 Total Population Estimate",7,2.37329970028615,0.155172413793103,-10.6035323550412,7.32301401241153,"synthetic_poisson_sar_placeholder"
12,"12) Central Piedmont","Central Piedmont",1,1204215,"Mecklenburg",12,"NC OSBM county-population-totals API, 2024 Total Population Estimate",37,3.07254103295508,0.241379310344828,-10.127066926656,48.1476115995452,"synthetic_poisson_sar_placeholder"
13,"13) Cleveland CC","Cleveland CC",1,99774,"Cleveland",13,"NC OSBM county-population-totals API, 2024 Total Population Estimate",4,4.00906047667729,0.379310344827586,-10.2578501791992,3.5001741630081,"synthetic_poisson_sar_placeholder"
14,"14) Coastal Carolina CC","Coastal Carolina CC",1,215481,"Onslow",14,"NC OSBM county-population-totals API, 2024 Total Population Estimate",13,6.03301451172029,0.655172413793103,-10.0576572510806,9.23472436571866,"synthetic_poisson_sar_placeholder"
15,"15) College of The Albemarle","College of The Albemarle",7,160763,"Camden; Chowan; Currituck; Dare; Gates; Pasquotank; Perquimans",15,"NC OSBM county-population-totals API, 2024 Total Population Estimate",8,4.97626941522614,0.568965517241379,-9.8878177330972,8.1650983907039,"synthetic_poisson_sar_placeholder"
